order_id,customer_id,product_id,order_date,quantity,discount,payment_method,order_status
O000101,C01496,P0460,18-11-2025,4,15,Card,Delivered
O000102,C00744,P0009,26-07-2024,0,0,Card,Delivered
O000103,C01777,P0439,07-05-2025,0,0,Cash,Delivered
O000104,C00295,P0055,14-03-2025,2,0,Card,Shipped
O000105,C01328,P0497,04-04-2024,2,10,Upi,Shipped
O000106,C00515,P0252,13-07-2025,1,10,Upi,Shipped
O000107,C01868,P0034,06-06-2025,3,20,Card,Cancelled
O000108,C01627,P0499,13-02-2024,3,10,Upi,Returned
O000109,C00378,P0205,15-09-2024,4,15,Upi,Delivered
O000110,C01120,P0429,10-03-2024,1,20,Upi,Cancelled
O000111,C01413,P0019,01-10-2024,3,20,Upi,Shipped
O000112,C00351,P0465,06-03-2025,2,10,Cash,Shipped
O000113,C01905,P0265,15-07-2024,1,0,Upi,Delivered
O000114,C01133,P0024,22-02-2024,2,20,Upi,Shipped
O000115,C00682,P0231,03-02-2024,1,0,Card,Shipped
O000116,C00289,P0358,11-11-2025,4,20,Card,Delivered
O000117,C00509,P0203,06-02-2025,2,110,Card,Delivered
O000118,C00449,P0130,28-06-2024,2,0,Cash,Delivered
O000119,C00548,P0376,03-09-2025,3,0,Upi,Delivered
O000120,C00317,P0028,29-10-2025,0,110,Upi,Delivered
O000121,C00211,P0123,02-06-2024,1,20,Upi,Returned
O000122,C01140,P0080,07-08-2025,2,10,Upi,Delivered
O000123,C01712,P0070,23-03-2024,2,10,Card,Returned
O000124,C01044,P0311,10-05-2025,1,10,Upi,Shipped
O000125,C00474,P0296,04-04-2024,3,0,Card,Shipped
O000126,C00042,P0364,12-10-2025,3,10,Cash,Cancelled
O000127,C00953,P0368,15-06-2025,2,20,Card,Shipped
O000128,C01170,P0386,28-11-2024,1,20,Upi,Shipped
O000129,C00860,P0297,28-11-2024,2,0,Card,Delivered
O000130,C01517,P0252,08-02-2025,0,10,Upi,Returned
O000131,C01290,P0016,30-11-2025,1,10,Card,Shipped
O000132,C01186,P0287,14-12-2024,2,10,Upi,Delivered
O000133,C00516,P0418,25-04-2025,1,110,Upi,Returned
O000134,C01274,P0186,05-01-2025,0,0,Card,Delivered
O000135,C01032,P0219,21-08-2025,2,110,Upi,Returned
O000136,C00027,P0140,04-05-2024,2,0,Upi,Delivered
O000137,C01118,P0046,04-06-2024,0,110,Upi,Delivered
O000138,C01045,P0063,27-07-2024,2,0,Upi,Delivered
O000139,C00133,P0291,26-09-2025,2,0,Upi,Cancelled
O000140,C01547,P0337,11-11-2024,2,0,Cash,Shipped
O000141,C00343,P0217,04-12-2024,3,20,Card,Cancelled
O000142,C01187,P0190,29-10-2024,1,110,Upi,Cancelled
O000143,C01440,P0243,02-07-2024,1,0,Upi,Returned
O000144,C01287,P0401,29-06-2024,2,0,Upi,Delivered
O000145,C01551,P0150,22-09-2025,4,15,Upi,Cancelled
O000146,C00959,P0276,11-10-2025,4,20,Card,Cancelled
O000147,C01445,P0148,21-02-2024,4,10,Cash,Cancelled
O000148,C01789,P0308,16-09-2025,2,110,Upi,Cancelled
O000149,C01468,P0369,27-01-2024,0,0,Cash,Shipped
O000150,C01108,P0451,27-08-2025,2,10,Cash,Cancelled
O000151,C01755,P0236,22-10-2024,0,0,Cash,Returned
O000152,C01055,P0285,02-09-2025,0,20,Upi,Shipped
O000153,C01172,P0347,17-02-2025,4,15,Upi,Delivered
O000154,C01649,P0361,14-09-2024,2,20,Cash,Delivered
O000155,C00055,P0293,12-06-2024,0,0,Upi,Returned
O000156,C00499,P0198,08-04-2025,1,0,Upi,Returned
O000157,C01263,P0249,18-06-2025,0,10,Cash,Delivered
O000158,C01527,P0003,07-02-2025,0,110,Cash,Cancelled
O000159,C01878,P0376,12-11-2025,2,0,Cash,Shipped
O000160,C00133,P0241,20-02-2025,4,20,Cash,Delivered
O000161,C01957,P0111,15-04-2025,2,110,Upi,Cancelled
O000162,C00816,P0458,23-11-2025,1,0,Upi,Delivered
O000163,C00052,P0286,29-02-2024,2,0,Card,Cancelled
O000164,C01453,P0234,15-02-2025,2,0,Upi,Delivered
O000165,C00410,P0225,27-03-2025,2,20,Card,Cancelled
O000166,C01050,P0458,29-07-2025,2,20,Cash,Delivered
O000167,C00228,P0072,07-09-2024,2,20,Card,Delivered
O000168,C00180,P0175,07-05-2025,4,15,Upi,Delivered
O000169,C00613,P0424,18-06-2025,3,10,Card,Shipped
O000170,C01518,P0082,20-03-2024,2,0,Upi,Delivered
O000171,C01645,P0014,18-06-2025,2,0,Cash,Shipped
O000172,C00148,P0107,12-10-2024,1,110,Upi,Delivered
O000173,C01995,P0437,13-06-2024,2,0,Upi,Returned
O000174,C00877,P0147,15-12-2024,0,0,Cash,Shipped
O000175,C01317,P0321,25-12-2024,4,15,Upi,Cancelled
O000176,C00734,P0209,30-10-2024,2,0,Cash,Delivered
O000177,C00329,P0114,23-07-2025,2,20,Upi,Delivered
O000178,C01201,P0104,17-08-2024,0,110,Upi,Delivered
O000179,C01998,P0385,09-03-2024,4,110,Cash,Delivered
O000180,C00316,P0232,02-04-2024,0,0,Upi,Delivered
O000181,C01200,P0426,12-06-2024,3,20,Upi,Returned
O000182,C01429,P0356,16-04-2024,2,0,Upi,Cancelled
O000183,C00225,P0032,09-03-2024,2,0,Upi,Delivered
O000184,C00996,P0365,04-06-2024,1,110,Upi,Shipped
O000185,C00501,P0236,12-04-2024,0,0,Card,Delivered
O000186,C01397,P0212,05-09-2024,1,0,Cash,Delivered
O000187,C00452,P0217,09-05-2024,4,15,Cash,Delivered
O000188,C00764,P0028,21-11-2024,0,110,Upi,Delivered
O000189,C00130,P0404,26-05-2024,2,10,Upi,Shipped
O000190,C01339,P0219,22-06-2024,1,20,Upi,Delivered
O000191,C00155,P0188,08-09-2025,2,0,Upi,Delivered
O000192,C00454,P0061,13-02-2024,3,0,Card,Shipped
O000193,C00401,P0166,04-08-2024,3,0,Upi,Returned
O000194,C01847,P0226,22-08-2024,3,10,Upi,Returned
O000195,C00669,P0213,05-02-2024,2,110,Upi,Shipped
O000196,C01806,P0231,15-06-2025,3,10,Cash,Cancelled
O000197,C00156,P0493,04-03-2025,2,10,Upi,Delivered
O000198,C01776,P0392,31-05-2024,1,10,Upi,Cancelled
O000199,C01033,P0211,05-10-2024,3,10,Cash,Delivered
O000200,C00188,P0495,08-11-2025,4,15,Upi,Returned
O000201,C00110,P0434,09-01-2025,2,0,Upi,Delivered
O000202,C00048,P0136,09-04-2025,2,0,Upi,Delivered
O000203,C00115,P0040,06-12-2024,2,10,Cash,Shipped
O000204,C01726,P0468,04-10-2024,3,0,Upi,Returned
O000205,C01435,P0173,15-09-2024,2,10,Card,Delivered
O000206,C01151,P0039,29-02-2024,2,10,Cash,Cancelled
O000207,C00012,P0392,20-04-2024,2,20,Cash,Delivered
O000208,C00579,P0102,19-10-2025,4,20,Card,Returned
O000209,C01933,P0461,01-11-2024,1,0,Upi,Delivered
O000210,C00127,P0170,15-01-2025,3,110,Cash,Shipped
O000211,C00218,P0330,05-08-2025,1,0,Cash,Cancelled
O000212,C01855,P0111,26-04-2024,4,15,Cash,Delivered
O000213,C00453,P0475,26-01-2025,4,15,Card,Delivered
O000214,C00838,P0364,04-08-2025,2,10,Card,Delivered
O000215,C00228,P0135,18-03-2025,4,110,Upi,Delivered
O000216,C01963,P0105,10-02-2024,1,10,Upi,Delivered
O000217,C01351,P0086,28-02-2025,0,0,Upi,Delivered
O000218,C00669,P0442,20-06-2024,1,20,Card,Cancelled
O000219,C00891,P0212,19-11-2025,0,0,Upi,Returned
O000220,C01882,P0041,01-08-2024,2,10,Upi,Returned
O000221,C01121,P0392,04-09-2025,4,10,Card,Shipped
O000222,C00882,P0429,22-11-2024,4,15,Card,Cancelled
O000223,C01423,P0305,16-10-2024,4,10,Upi,Shipped
O000224,C00815,P0410,03-04-2025,4,20,Card,Delivered
O000225,C00814,P0335,03-05-2024,3,10,Cash,Shipped
O000226,C01679,P0348,29-06-2025,2,0,Upi,Delivered
O000227,C00521,P0404,31-01-2024,4,10,Upi,Delivered
O000228,C00375,P0251,16-05-2024,2,0,Cash,Returned
O000229,C00443,P0317,02-08-2025,4,15,Cash,Cancelled
O000230,C00304,P0302,20-08-2025,1,0,Upi,Cancelled
O000231,C01577,P0025,08-01-2025,3,0,Cash,Returned
O000232,C00650,P0223,13-02-2024,3,20,Cash,Cancelled
O000233,C02000,P0105,19-01-2025,2,10,Card,Shipped
O000234,C00887,P0435,21-09-2024,4,20,Cash,Delivered
O000235,C00039,P0318,24-12-2024,0,0,Upi,Cancelled
O000236,C01503,P0122,24-03-2024,2,20,Cash,Shipped
O000237,C00925,P0321,06-07-2024,3,10,Cash,Delivered
O000238,C00380,P0270,24-08-2025,1,20,Card,Delivered
O000239,C01630,P0110,16-09-2025,2,10,Cash,Cancelled
O000240,C00777,P0178,09-12-2024,2,0,Upi,Returned
O000241,C01273,P0431,19-04-2024,0,10,Card,Returned
O000242,C01402,P0105,16-01-2025,3,0,Card,Delivered
O000243,C00486,P0121,03-08-2024,1,110,Upi,Shipped
O000244,C01080,P0300,07-02-2024,4,15,Cash,Cancelled
O000245,C00942,P0347,01-02-2024,3,20,Cash,Delivered
O000246,C01328,P0063,25-01-2024,2,110,Upi,Delivered
O000247,C01173,P0274,14-10-2024,1,20,Card,Delivered
O000248,C01610,P0468,28-12-2024,3,110,Cash,Delivered
O000249,C01326,P0234,07-01-2024,4,10,Cash,Returned
O000250,C00163,P0485,08-07-2024,4,15,Upi,Delivered
O000251,C00070,P0279,09-01-2025,2,20,Upi,Cancelled
O000252,C00533,P0003,11-11-2025,4,15,Card,Delivered
O000253,C01986,P0313,10-04-2024,1,0,Upi,Delivered
O000254,C00780,P0405,22-06-2025,2,20,Upi,Shipped
O000255,C00488,P0253,26-08-2025,2,0,Upi,Returned
O000256,C01533,P0455,28-10-2024,2,10,Card,Shipped
O000257,C01739,P0421,19-06-2024,3,20,Upi,Cancelled
O000258,C00833,P0033,08-08-2024,1,20,Cash,Cancelled
O000259,C00544,P0085,26-01-2025,3,110,Cash,Delivered
O000260,C00417,P0002,26-02-2025,2,110,Upi,Shipped
O000261,C01698,P0272,16-06-2024,0,110,Cash,Shipped
O000262,C00369,P0212,21-06-2025,4,110,Upi,Returned
O000263,C01740,P0394,12-07-2024,4,20,Upi,Delivered
O000264,C01582,P0231,23-05-2025,3,0,Upi,Returned
O000265,C01746,P0233,14-08-2024,0,10,Cash,Returned
O000266,C00924,P0033,20-02-2025,0,20,Card,Delivered
O000267,C00528,P0251,13-06-2024,0,0,Upi,Delivered
O000268,C01118,P0216,17-10-2024,0,110,Cash,Shipped
O000269,C00651,P0164,20-10-2024,0,0,Card,Cancelled
O000270,C00286,P0041,11-08-2025,2,0,Card,Delivered
O000271,C00873,P0218,26-04-2024,2,10,Cash,Returned
O000272,C00804,P0192,19-03-2025,2,0,Card,Shipped
O000273,C01405,P0421,25-12-2024,1,10,Upi,Returned
O000274,C00697,P0398,11-10-2025,1,20,Upi,Shipped
O000275,C00597,P0453,06-05-2024,0,10,Card,Delivered
O000276,C01754,P0003,02-06-2024,0,10,Card,Shipped
O000277,C00806,P9999,15-07-2025,2,20,Card,Cancelled
O000278,C01195,P0122,23-09-2024,2,20,Cash,Cancelled
O000279,C01908,P0246,28-10-2025,3,0,Upi,Delivered
O000280,C01700,P0130,19-01-2025,1,0,Cash,Cancelled
O000281,C00561,P0327,20-06-2024,2,0,Cash,Returned
O000282,C01503,P0261,08-12-2024,0,110,Upi,Delivered
O000283,C00829,P0195,01-01-2024,4,10,Upi,Delivered
O000284,C00850,P0334,04-08-2024,0,20,Upi,Delivered
O000285,C00992,P0153,29-01-2025,3,10,Cash,Delivered
O000286,C00136,P0407,15-08-2025,3,110,Upi,Delivered
O000287,C00352,P0065,12-08-2024,1,10,Upi,Delivered
O000288,C01837,P0177,01-04-2025,3,0,Upi,Shipped
O000289,C01677,P0223,22-03-2025,3,10,Upi,Cancelled
O000290,C01034,P0161,13-08-2024,4,15,Cash,Returned
O000291,C01432,P0199,20-11-2024,4,20,Upi,Delivered
O000292,C01442,P0420,04-03-2024,0,10,Upi,Shipped
O000293,C00926,P0384,26-11-2024,1,0,Cash,Delivered
O000294,C00268,P0121,01-02-2025,2,20,Upi,Delivered
O000295,C00274,P0376,22-08-2024,2,20,Upi,Returned
O000296,C00588,P0291,07-09-2025,0,110,Card,Returned
O000297,C01461,P0020,04-06-2025,2,10,Card,Delivered
O000298,C01356,P0320,05-05-2024,1,0,Card,Returned
O000299,C01967,P0342,22-09-2025,2,0,Upi,Shipped
O000300,C00431,P0387,11-05-2025,0,0,Cash,Returned
O000301,C00824,P0297,08-03-2025,1,10,Cash,Shipped
O000302,C01390,P0261,20-04-2025,4,15,Upi,Delivered
O000303,C00369,P0481,26-10-2024,3,10,Cash,Shipped
O000304,C00533,P0062,23-12-2024,3,0,Card,Returned
O000305,C00402,P0302,21-05-2025,0,10,Card,Returned
O000306,C01967,P0284,19-04-2025,1,10,Upi,Shipped
O000307,C00474,P0366,04-05-2024,2,0,Upi,Returned
O000308,C01340,P0095,13-07-2025,2,0,Card,Shipped
O000309,C01017,P0327,18-02-2025,0,0,Upi,Returned
O000310,C00296,P0372,27-10-2024,2,10,Upi,Delivered
O000311,C01858,P0290,30-04-2025,2,10,Cash,Cancelled
O000312,C00705,P0401,11-03-2024,1,110,Card,Cancelled
O000313,C00926,P0026,18-04-2025,1,10,Upi,Shipped
O000314,C00348,P0089,18-12-2024,3,0,Upi,Returned
O000315,C01262,P0274,23-05-2025,4,15,Card,Cancelled
O000316,C00474,P0054,10-04-2024,4,110,Card,Cancelled
O000317,C00802,P0484,13-03-2025,1,10,Upi,Cancelled
O000318,C00048,P0035,10-03-2024,1,20,Card,Delivered
O000319,C01907,P0217,13-05-2024,2,0,Card,Delivered
O000320,C01952,P0035,05-11-2024,0,20,Upi,Returned
O000321,C00418,P0023,06-02-2025,2,0,Cash,Returned
O000322,C00802,P0420,16-07-2025,2,20,Cash,Returned
O000323,C00498,P0382,01-11-2025,4,110,Upi,Cancelled
O000324,C01911,P0137,31-03-2025,2,0,Card,Delivered
O000325,C00932,P0286,05-06-2024,2,20,Upi,Returned
O000326,C01683,P0296,21-10-2025,1,110,Upi,Cancelled
O000327,C01243,P0108,21-06-2025,2,10,Card,Returned
O000328,C00402,P0195,08-04-2024,0,0,Card,Returned
O000329,C00008,P0268,20-07-2024,0,20,Upi,Cancelled
O000330,C00140,P0098,01-06-2025,2,110,Upi,Cancelled
O000331,C00490,P0077,28-09-2024,0,20,Cash,Delivered
O000332,C00741,P0475,26-06-2024,1,110,Upi,Shipped
O000333,C99999,P0129,17-11-2024,3,20,Upi,Cancelled
O000334,C00955,P0492,07-08-2024,3,10,Cash,Cancelled
O000335,C00392,P0418,13-02-2025,2,110,Upi,Delivered
O000336,C00827,P0476,07-09-2024,3,0,Card,Delivered
O000337,C01311,P0425,04-06-2024,1,10,Upi,Delivered
O000338,C00257,P0334,08-07-2024,3,110,Card,Shipped
O000339,C00769,P0008,18-04-2024,3,110,Upi,Delivered
O000340,C00597,P0319,08-09-2025,2,0,Card,Cancelled
O000341,C01161,P0195,07-02-2025,4,15,Upi,Returned
O000342,C01176,P0124,08-07-2025,0,10,Upi,Cancelled
O000343,C00108,P0279,28-08-2025,3,20,Cash,Returned
O000344,C01969,P0037,25-01-2024,3,0,Card,Delivered
O000345,C01988,P0122,01-10-2025,4,110,Upi,Shipped
O000346,C01069,P0055,13-11-2025,3,0,Cash,Cancelled
O000347,C00905,P0302,25-08-2024,4,110,Card,Returned
O000348,C00984,P0458,01-01-2024,2,10,Upi,Shipped
O000349,C00826,P0379,22-03-2025,1,0,Upi,Cancelled
O000350,C01422,P0273,04-02-2024,1,0,Card,Delivered
O000351,C00342,P0124,13-06-2024,3,20,Cash,Shipped
O000352,C01816,P0262,27-11-2024,3,110,Cash,Cancelled
O000353,C01319,P0371,18-01-2024,2,0,Upi,Shipped
O000354,C01833,P0431,17-01-2025,2,110,Upi,Returned
O000355,C01643,P0135,25-12-2024,0,10,Upi,Cancelled
O000356,C01078,P0323,15-07-2025,3,20,Cash,Cancelled
O000357,C00687,P0305,27-09-2025,3,0,Cash,Shipped
O000358,C01470,P0032,12-11-2025,2,10,Card,Delivered
O000359,C00179,P0474,02-07-2024,2,0,Upi,Shipped
O000360,C01606,P0478,16-11-2024,3,110,Upi,Shipped
O000361,C01771,P0072,21-09-2024,3,0,Cash,Delivered
O000362,C00558,P0255,30-11-2024,3,10,Card,Cancelled
O000363,C00258,P0146,16-01-2024,2,0,Upi,Delivered
O000364,C00424,P0116,17-11-2024,4,110,Card,Cancelled
O000365,C00189,P0179,19-01-2025,1,110,Upi,Returned
O000366,C01663,P0249,19-05-2025,0,0,Upi,Cancelled
O000367,C00570,P0253,10-11-2025,4,15,Upi,Returned
O000368,C00506,P0339,12-08-2025,0,0,Cash,Returned
O000369,C00936,P0258,02-06-2025,1,10,Upi,Delivered
O000370,C00114,P0183,12-09-2024,4,110,Upi,Delivered
O000371,C00523,P0454,13-01-2025,2,20,Card,Cancelled
O000372,C01857,P0020,27-06-2025,2,110,Cash,Delivered
O000373,C00746,P0154,19-03-2025,2,20,Card,Shipped
O000374,C01076,P0221,15-10-2025,3,10,Card,Shipped
O000375,C01625,P0078,03-03-2025,4,15,Card,Delivered
O000376,C01535,P0035,21-01-2025,3,10,Card,Delivered
O000377,C00997,P0429,19-08-2024,1,0,Upi,Cancelled
O000378,C00631,P0073,19-08-2025,1,10,Upi,Cancelled
O000379,C01576,P0352,15-03-2024,2,0,Cash,Shipped
O000380,C01096,P0088,01-10-2024,3,10,Upi,Returned
O000381,C01789,P0221,25-11-2025,4,10,Card,Returned
O000382,C01247,P0030,17-02-2024,2,10,Upi,Delivered
O000383,C01653,P0065,30-06-2024,1,10,Upi,Shipped
O000384,C01469,P0226,01-10-2025,2,10,Upi,Shipped
O000385,C00499,P0089,26-08-2025,2,10,Cash,Cancelled
O000386,C01352,P0060,23-07-2025,0,0,Upi,Shipped
O000387,C00134,P0424,04-04-2024,0,110,Upi,Delivered
O000388,C01741,P0440,11-05-2024,2,20,Upi,Delivered
O000389,C00488,P0494,10-06-2025,4,110,Upi,Returned
O000390,C00905,P0328,25-04-2025,0,0,Upi,Returned
O000391,C01554,P0324,18-08-2025,1,0,Upi,Cancelled
O000392,C01840,P0024,02-01-2025,4,20,Upi,Shipped
O000393,C00483,P0283,10-09-2024,4,20,Cash,Delivered
O000394,C01634,P0288,15-07-2024,2,10,Cash,Delivered
O000395,C01868,P0185,16-08-2025,2,20,Upi,Delivered
O000396,C00435,P0274,12-08-2024,1,10,Upi,Cancelled
O000397,C00523,P0471,12-02-2025,2,10,Cash,Cancelled
O000398,C00718,P0198,18-04-2025,4,20,Card,Delivered
O000399,C01150,P0485,13-08-2025,2,110,Upi,Delivered
O000400,C00933,P0068,27-07-2025,2,10,Upi,Shipped
O000401,C01259,P0188,20-08-2024,4,15,Upi,Returned
O000402,C00062,P0084,23-10-2025,2,0,Upi,Cancelled
O000403,C00407,P0019,08-08-2024,1,10,Upi,Cancelled
O000404,C00525,P0029,25-01-2025,4,20,Cash,Shipped
O000405,C01921,P0338,11-07-2024,4,20,Card,Delivered
O000406,C01432,P0360,29-03-2024,2,20,Upi,Returned
O000407,C01084,P0070,27-08-2025,1,0,Card,Shipped
O000408,C00564,P0468,26-08-2024,3,0,Upi,Delivered
O000409,C00416,P0252,26-02-2025,1,20,Upi,Delivered
O000410,C01697,P0311,26-11-2024,4,15,Cash,Returned
O000411,C00021,P0422,22-01-2025,4,110,Card,Delivered
O000412,C00351,P0464,07-01-2024,3,110,Cash,Shipped
O000413,C01706,P0104,22-11-2024,4,10,Card,Returned
O000414,C00256,P0500,27-06-2025,2,110,Upi,Shipped
O000415,C00729,P0483,19-01-2024,2,0,Card,Delivered
O000416,C00572,P0169,19-06-2025,2,0,Card,Cancelled
O000417,C00042,P0126,02-08-2024,3,110,Upi,Returned
O000418,C01911,P0178,11-08-2025,2,20,Cash,Delivered
O000419,C00127,P0298,28-12-2024,4,15,Cash,Delivered
O000420,C01589,P0045,13-10-2024,3,10,Cash,Delivered
O000421,C01607,P0478,17-05-2025,2,0,Card,Delivered
O000422,C00709,P0305,23-07-2024,4,20,Cash,Returned
O000423,C00880,P0414,11-01-2024,2,20,Card,Delivered
O000424,C00587,P0482,22-11-2025,3,10,Upi,Shipped
O000425,C00853,P0494,15-09-2025,2,0,Upi,Delivered
O000426,C00371,P0437,19-11-2025,1,110,Upi,Cancelled
O000427,C01176,P0173,20-03-2024,2,10,Upi,Delivered
O000428,C00396,P0003,24-09-2024,0,0,Cash,Delivered
O000429,C00809,P0236,14-01-2025,3,10,Upi,Returned
O000430,C00201,P0355,15-10-2024,4,15,Cash,Delivered
O000431,C00020,P0207,14-08-2025,1,20,Upi,Cancelled
O000432,C00787,P0485,22-05-2024,2,0,Upi,Delivered
O000433,C01611,P0402,19-04-2024,1,10,Upi,Delivered
O000434,C00304,P0020,04-03-2025,2,0,Upi,Cancelled
O000435,C01736,P0285,30-01-2025,2,10,Cash,Delivered
O000436,C01953,P0165,13-01-2025,4,15,Upi,Cancelled
O000437,C00421,P0143,17-05-2024,2,10,Upi,Cancelled
O000438,C00365,P0302,27-10-2025,4,20,Upi,Shipped
