product_id,product_name,category,brand,price,stock_quantity,supplier,rating
P0074,Product 74,Electronic,BrandB,2997,200,S2,2.3
P0075,Product 75,Home,BrandA,4092,213,S2,4.5
P0076,Product 76,Electronic,BrandA,2429,145,S2,2
P0077,Product 77,Electronic,BrandB,999,295,S1,4.1
P0078,Product 78,Electronic,BrandB,4192,220,S2,4.4
P0079,Product 79,Electronic,BrandA,3166,122,S1,0.9
P0080,Product 80,Electronic,BrandB,2020,266,S2,2.2
P0081,Product 81,Electronic,BrandB,304,156,S1,2
P0082,Product 82,Electronic,BrandB,2086,69,S1,4
P0083,Product 83,Electronic,BrandA,2635,268,S2,0.6
P0084,Product 84,Home,BrandB,189,242,S2,0.2
P0085,Product 85,Electronic,BrandB,470,77,S1,0.2
P0086,Product 86,Home,BrandB,2709,97,S2,0.9
P0087,Product 87,Electronic,BrandA,4890,252,S1,2.4
P0088,Product 88,Electronic,BrandB,3922,0,S2,3.9
P0089,Product 89,Home,BrandB,3714,9,S1,1.1
P0090,Product 90,Home,BrandA,4204,40,S2,2
P0091,Product 91,Electronic,BrandB,2416,21,S1,5
P0092,Product 92,Electronic,BrandB,2134,66,S1,2
P0093,Product 93,Electronic,BrandB,3664,7,S2,3.9
P0094,Product 94,Electronic,BrandB,2760,196,S1,3.3
P0095,Product 95,Home,BrandB,3600,153,S2,4
P0096,Product 96,Electronic,BrandA,4364,191,S2,4.4
P0097,Product 97,Electronic,BrandA,3217,54,S2,0.9
P0098,Product 98,Electronic,BrandA,259,269,S1,0.3
P0099,Product 99,Electronic,BrandB,2605,220,S2,4.1
P0100,Product 100,Electronic,BrandA,1288,154,S2,3.7
P0101,Product 101,Electronic,BrandA,2531,204,S1,1.7
P0102,Product 102,Electronic,BrandB,280,30,S1,2
P0103,Product 103,Electronic,BrandB,520,122,S2,3.1
P0104,Product 104,Electronic,BrandA,1748,92,S1,2.2
P0105,Product 105,Electronic,BrandA,3978,104,S1,2
P0106,Product 106,Electronic,BrandB,2107,50,S1,1.1
P0107,Product 107,Electronic,BrandA,1322,120,S2,4.7
P0108,Product 108,Electronic,BrandB,1560,245,S2,1.3
P0109,Product 109,Home,BrandB,2642,182,S1,1.4
P0110,Product 110,Home,BrandB,2516,264,S2,1
P0111,Product 111,Electronic,BrandA,1771,78,S2,4.2
P0112,Product 112,Electronic,BrandB,717,287,S1,0.9
P0113,Product 113,Electronic,BrandB,3223,155,S1,2
P0114,Product 114,Electronic,BrandA,804,273,S1,2.4
P0115,Product 115,Electronic,BrandB,4952,47,S1,0.2
P0116,Product 116,Electronic,BrandB,972,13,S1,3.2
P0117,Product 117,Electronic,BrandA,3323,198,S2,2.4
P0118,Product 118,Electronic,BrandB,1990,6,S1,1.2
P0119,Product 119,Electronic,BrandB,1337,296,S1,0
P0120,Product 120,Electronic,BrandA,335,169,S1,0.9
P0121,Product 121,Electronic,BrandB,1533,184,S1,4.7
P0122,Product 122,Electronic,BrandB,4182,277,S1,1.3
P0123,Product 123,Electronic,BrandA,1687,157,S1,0.9
P0124,Product 124,Electronic,BrandA,4258,111,S2,1.9
P0125,Product 125,Home,BrandA,1999,145,S1,2.6
P0126,Product 126,Electronic,BrandA,1590,165,S1,4.8
P0127,Product 127,Electronic,BrandB,1695,210,S2,0.4
P0128,Product 128,Electronic,BrandB,4157,56,S2,3
P0129,Product 129,Electronic,BrandA,3402,123,S1,0.8
P0130,Product 130,Electronic,BrandA,2383,71,S1,2.7
P0131,Product 131,Electronic,BrandB,1095,281,S2,4.4
P0132,Product 132,Electronic,BrandA,4582,117,S2,4.6
P0133,Product 133,Home,BrandB,1816,75,S1,0.5
P0134,Product 134,Electronic,BrandA,1856,82,S2,2
P0135,Product 135,Electronic,BrandA,1578,219,S2,2
P0136,Product 136,Electronic,BrandA,297,18,S1,2.8
P0137,Product 137,Home,BrandB,668,66,S2,1.1
P0138,Product 138,Electronic,BrandA,278,23,S1,5
P0139,Product 139,Home,BrandB,1812,218,S1,4.8
P0140,Product 140,Electronic,BrandB,4315,227,S1,2.6
P0141,Product 141,Home,BrandB,228,197,S1,1.1
P0142,Product 142,Home,BrandB,1558,217,S1,4.6
P0143,Product 143,Electronic,BrandA,3430,11,S1,5
P0144,Product 144,Electronic,BrandB,624,116,S2,2.8
P0145,Product 145,Home,BrandA,1583,179,S1,3
P0146,Product 146,Home,BrandA,1795,27,S1,4.1
P0147,Product 147,Electronic,BrandA,2255,20,S1,2.2
P0148,Product 148,Home,BrandB,4394,299,S2,0.6
P0149,Product 149,Home,BrandA,3155,178,S1,0.3
P0150,Product 150,Electronic,BrandA,4769,155,S2,0.8
P0151,Product 151,Electronic,BrandB,4565,28,S1,0
P0152,Product 152,Home,BrandA,1360,176,S2,3.1
P0153,Product 153,Electronic,BrandB,3243,109,S1,1.9
P0154,Product 154,Electronic,BrandA,999,42,S1,4.8
P0155,Product 155,Home,BrandA,4068,250,S2,0.7
P0156,Product 156,Electronic,BrandB,771,172,S1,3.7
P0157,Product 157,Electronic,BrandB,3962,190,S1,3.6
P0158,Product 158,Electronic,BrandA,2470,62,S1,2.6
P0159,Product 159,Electronic,BrandA,3039,141,S1,0.7
P0160,Product 160,Home,BrandA,576,32,S2,2.3
P0161,Product 161,Electronic,BrandB,3575,178,S2,2.1
P0162,Product 162,Electronic,BrandB,3581,231,S2,0.5
P0163,Product 163,Electronic,BrandB,2471,150,S1,0.4
P0164,Product 164,Electronic,BrandB,3591,261,S2,3.4
P0165,Product 165,Electronic,BrandA,4883,24,S1,2.2
P0166,Product 166,Electronic,BrandB,320,101,S2,1.8
P0167,Product 167,Home,BrandB,1322,200,S1,1.4
P0168,Product 168,Electronic,BrandA,2454,71,S2,4.3
P0169,Product 169,Electronic,BrandA,4022,43,S1,2.9
P0170,Product 170,Electronic,BrandA,4499,243,S2,4.9
P0171,Product 171,Electronic,BrandB,1464,7,S1,4.4
P0172,Product 172,Electronic,BrandB,1729,266,S1,4.8
P0173,Product 173,Home,BrandB,3967,35,S1,4.5
P0174,Product 174,Electronic,BrandA,4354,67,S2,0.9
P0175,Product 175,Electronic,BrandB,993,291,S2,4.3
P0176,Product 176,Home,BrandB,4700,0,S2,2.5
P0177,Product 177,Electronic,BrandA,1727,233,S1,4.7
P0178,Product 178,Electronic,BrandA,1546,288,S2,4.9
P0179,Product 179,Electronic,BrandB,3122,101,S1,1.1
P0180,Product 180,Electronic,BrandB,1482,253,S2,0.2
P0181,Product 181,Electronic,BrandA,2498,149,S1,3.5
P0182,Product 182,Electronic,BrandA,3903,1,S2,5
P0183,Product 183,Electronic,BrandA,3107,88,S1,0.9
P0184,Product 184,Electronic,BrandB,3910,265,S2,3.5
P0185,Product 185,Home,BrandB,2045,291,S1,4.5
P0186,Product 186,Electronic,BrandB,1978,255,S1,0.2
P0187,Product 187,Home,BrandB,4361,115,S2,0.5
P0188,Product 188,Electronic,BrandB,3460,31,S1,1.2
P0189,Product 189,Electronic,BrandB,269,50,S2,1.7
P0190,Product 190,Electronic,BrandB,1823,284,S2,2
P0191,Product 191,Electronic,BrandB,976,246,S2,3.6
P0192,Product 192,Electronic,BrandA,3699,267,S2,0.7
P0193,Product 193,Electronic,BrandA,2328,59,S2,2.3
P0194,Product 194,Electronic,BrandA,967,175,S2,3
P0195,Product 195,Electronic,BrandB,4561,213,S1,0.5
P0196,Product 196,Home,BrandB,2116,69,S2,3
P0197,Product 197,Home,BrandA,289,202,S1,0.6
P0198,Product 198,Electronic,BrandA,1783,236,S2,4.9
P0199,Product 199,Electronic,BrandB,523,48,S2,4.1
P0200,Product 200,Home,BrandB,1632,22,S2,0.4
P0201,Product 201,Home,BrandB,778,293,S1,1.8
P0202,Product 202,Electronic,BrandA,3724,16,S2,2.2
P0203,Product 203,Home,BrandA,2641,177,S2,4
P0204,Product 204,Home,BrandB,2212,230,S1,1.7
P0205,Product 205,Electronic,BrandB,1613,11,S2,1.3
P0206,Product 206,Home,BrandB,4593,109,S2,0.2
P0207,Product 207,Electronic,BrandA,263,122,S2,2.4
P0208,Product 208,Home,BrandB,2740,199,S1,3.9
P0209,Product 209,Electronic,BrandA,2773,286,S1,3.6
P0210,Product 210,Electronic,BrandB,4479,129,S1,1.9
P0211,Product 211,Electronic,BrandA,4049,207,S2,0.7
P0212,Product 212,Electronic,BrandA,1615,223,S2,1.6
P0213,Product 213,Electronic,BrandA,4508,282,S1,0.7
P0214,Product 214,Electronic,BrandA,2722,276,S1,0.1
P0215,Product 215,Electronic,BrandB,4913,26,S2,2.9
P0216,Product 216,Electronic,BrandB,3010,156,S2,3.7
P0217,Product 217,Electronic,BrandB,3287,84,S2,3.5
P0218,Product 218,Electronic,BrandA,3480,256,S1,3.2
P0219,Product 219,Electronic,BrandB,2578,224,S2,0.6
P0220,Product 220,Electronic,BrandB,4057,163,S2,0.1
P0221,Product 221,Electronic,BrandB,3898,8,S2,1.2
P0222,Product 222,Electronic,BrandA,3362,30,S2,3.6
P0223,Product 223,Electronic,BrandB,4158,52,S1,2.5
P0224,Product 224,Electronic,BrandA,796,240,S1,1.8
P0225,Product 225,Electronic,BrandB,2524,136,S1,4.9
P0226,Product 226,Electronic,BrandA,1084,207,S2,2.7
P0227,Product 227,Electronic,BrandA,397,155,S2,0.1
P0228,Product 228,Electronic,BrandB,305,96,S2,3.3
P0229,Product 229,Electronic,BrandA,3436,244,S1,1.9
P0230,Product 230,Electronic,BrandB,3459,36,S1,4.3
P0231,Product 231,Electronic,BrandA,999,288,S2,4.5
P0232,Product 232,Electronic,BrandB,4886,166,S2,3.8
P0233,Product 233,Home,BrandB,261,261,S1,3.2
P0234,Product 234,Electronic,BrandB,4844,285,S2,2.5
P0235,Product 235,Electronic,BrandA,3736,61,S1,3.7
P0236,Product 236,Electronic,BrandA,4568,157,S1,2.1
P0237,Product 237,Electronic,BrandB,3308,158,S1,4.4
P0238,Product 238,Electronic,BrandB,3044,36,S1,1.6
P0239,Product 239,Electronic,BrandA,362,241,S1,5
P0240,Product 240,Electronic,BrandB,1017,179,S1,1.8
P0241,Product 241,Electronic,BrandA,1692,143,S2,1.1
P0242,Product 242,Electronic,BrandB,579,3,S2,3.7
P0243,Product 243,Electronic,BrandB,4243,200,S2,2.3
P0244,Product 244,Electronic,BrandA,3117,35,S1,1.1
P0245,Product 245,Electronic,BrandA,1206,92,S2,3.1
P0246,Product 246,Home,BrandB,4880,191,S2,1.7
P0247,Product 247,Electronic,BrandA,2653,229,S2,3.1
P0248,Product 248,Electronic,BrandB,1802,46,S2,3.4
P0249,Product 249,Electronic,BrandB,4720,1,S2,1.8
P0250,Product 250,Electronic,BrandA,2936,252,S2,1.8
P0251,Product 251,Home,BrandB,2494,266,S1,1.4
P0252,Product 252,Electronic,BrandB,4535,191,S1,0.7
P0253,Product 253,Electronic,BrandA,1569,88,S1,4.3
P0254,Product 254,Electronic,BrandB,4567,208,S2,3
P0255,Product 255,Electronic,BrandA,2015,215,S1,0.2
P0256,Product 256,Electronic,BrandA,325,204,S2,0.8
P0257,Product 257,Home,BrandB,3715,120,S1,0.8
P0258,Product 258,Electronic,BrandB,4945,283,S1,0.7
P0259,Product 259,Home,BrandB,4845,206,S2,1.6
P0260,Product 260,Home,BrandA,1007,274,S1,1.3
P0261,Product 261,Electronic,BrandA,3022,231,S2,0.3
P0262,Product 262,Electronic,BrandB,2413,49,S2,2.2
P0263,Product 263,Electronic,BrandB,4360,208,S1,3.1
P0264,Product 264,Home,BrandB,129,0,S2,3.7
P0265,Product 265,Home,BrandA,3035,170,S2,0.2
P0266,Product 266,Electronic,BrandB,4797,265,S2,3
P0267,Product 267,Electronic,BrandB,2230,291,S1,3.7
P0268,Product 268,Electronic,BrandA,1206,134,S1,1.8
P0269,Product 269,Electronic,BrandA,171,107,S2,2
P0270,Product 270,Electronic,BrandB,3283,33,S2,3
P0271,Product 271,Electronic,BrandB,2723,223,S1,4.1
P0272,Product 272,Electronic,BrandA,587,127,S2,4.3
P0273,Product 273,Electronic,BrandB,3071,145,S1,5
P0274,Product 274,Electronic,BrandB,4399,116,S2,0.5
P0275,Product 275,Electronic,BrandB,4250,189,S1,2.7
P0276,Product 276,Home,BrandA,1158,220,S1,2.5
P0277,Product 277,Electronic,BrandB,2361,5,S2,4.9
P0278,Product 278,Electronic,BrandB,3564,228,S2,0.5
P0279,Product 279,Electronic,BrandB,4520,198,S1,2.3
P0280,Product 280,Electronic,BrandB,4948,159,S1,0.6
P0281,Product 281,Electronic,BrandB,193,66,S2,3.8
P0282,Product 282,Electronic,BrandA,1294,191,S1,2.8
P0283,Product 283,Home,BrandA,1223,77,S1,0.7
P0284,Product 284,Electronic,BrandB,2848,97,S2,3.6
P0285,Product 285,Electronic,BrandA,4042,24,S1,1.8
P0286,Product 286,Electronic,BrandA,801,284,S2,3.7
P0287,Product 287,Electronic,BrandA,827,160,S1,1
P0288,Product 288,Home,BrandB,4867,87,S2,1.2
P0289,Product 289,Electronic,BrandA,4603,24,S2,2.5
P0290,Product 290,Electronic,BrandB,4939,257,S1,1.9
P0291,Product 291,Home,BrandA,2889,53,S2,2.5
P0292,Product 292,Electronic,BrandB,3133,189,S2,3.1
P0293,Product 293,Electronic,BrandA,3748,248,S1,5
P0294,Product 294,Electronic,BrandA,2878,56,S2,1.1
P0295,Product 295,Electronic,BrandA,722,7,S2,3
P0296,Product 296,Home,BrandA,2535,114,S1,2
P0297,Product 297,Electronic,BrandA,4474,70,S2,0.5
P0298,Product 298,Home,BrandB,253,140,S2,1.6
P0299,Product 299,Electronic,BrandA,2144,191,S2,4.6
P0300,Product 300,Electronic,BrandA,3319,213,S1,3.9
P0301,Product 301,Home,BrandA,806,217,S2,3.8
P0302,Product 302,Electronic,BrandA,3671,14,S2,3.8
P0303,Product 303,Electronic,BrandA,2030,60,S2,3
P0304,Product 304,Electronic,BrandA,2318,31,S2,3.6
P0305,Product 305,Home,BrandB,4987,285,S1,0.2
P0306,Product 306,Electronic,BrandA,2375,300,S1,2.5
P0307,Product 307,Electronic,BrandB,4418,210,S2,1.2
P0308,Product 308,Home,BrandA,999,259,S2,0.5
P0309,Product 309,Electronic,BrandA,2263,6,S2,1.3
P0310,Product 310,Electronic,BrandA,2750,187,S1,4.3
P0311,Product 311,Electronic,BrandA,3080,41,S2,1.1
P0312,Product 312,Electronic,BrandA,391,189,S2,2.9
P0313,Product 313,Home,BrandA,3681,207,S2,2.1
P0314,Product 314,Electronic,BrandA,330,23,S1,4.2
P0315,Product 315,Electronic,BrandA,329,25,S1,1.1
P0316,Product 316,Electronic,BrandA,4825,111,S1,0.3
P0317,Product 317,Home,BrandA,2665,14,S1,0.5
P0318,Product 318,Electronic,BrandA,1074,166,S2,1.4
P0319,Product 319,Electronic,BrandB,3379,251,S1,1.3
P0320,Product 320,Electronic,BrandB,2590,12,S2,2.1
P0321,Product 321,Electronic,BrandA,3903,244,S1,3
P0322,Product 322,Electronic,BrandA,1467,248,S2,0.2
P0323,Product 323,Electronic,BrandB,844,116,S1,0.5
P0324,Product 324,Electronic,BrandB,4944,295,S1,2.4
P0325,Product 325,Electronic,BrandA,857,236,S2,2.5
P0326,Product 326,Electronic,BrandA,1086,115,S1,2.7
P0327,Product 327,Electronic,BrandA,4296,69,S2,2
P0328,Product 328,Electronic,BrandA,1035,34,S1,0.3
P0329,Product 329,Electronic,BrandA,3507,90,S1,2.3
P0330,Product 330,Electronic,BrandA,376,181,S2,4.6
P0331,Product 331,Electronic,BrandB,1665,177,S1,0.6
P0332,Product 332,Electronic,BrandA,1424,59,S2,1.8
P0333,Product 333,Electronic,BrandB,3043,242,S2,3.6
P0334,Product 334,Home,BrandA,2491,259,S1,1.7
P0335,Product 335,Electronic,BrandB,1494,96,S2,3.3
P0336,Product 336,Electronic,BrandA,2300,32,S2,1.2
P0337,Product 337,Electronic,BrandA,2874,250,S2,2.7
P0338,Product 338,Home,BrandB,4552,99,S2,2.4
P0339,Product 339,Electronic,BrandA,4952,62,S1,4.9
P0340,Product 340,Electronic,BrandA,1562,293,S1,3.7
P0341,Product 341,Electronic,BrandA,100,200,S2,4.2
P0342,Product 342,Electronic,BrandB,2580,243,S1,2.2
P0343,Product 343,Electronic,BrandA,3105,72,S2,0.3
P0344,Product 344,Electronic,BrandB,760,129,S2,0.7
P0345,Product 345,Electronic,BrandB,4124,191,S1,3.8
P0346,Product 346,Home,BrandA,2772,94,S2,3.3
P0347,Product 347,Electronic,BrandA,913,92,S1,1.6
P0348,Product 348,Home,BrandA,732,3,S1,0.2
P0349,Product 349,Electronic,BrandA,1609,224,S2,2.4
P0350,Product 350,Home,BrandA,3481,138,S1,2.5
P0351,Product 351,Electronic,BrandA,4344,298,S2,2.3
P0352,Product 352,Electronic,BrandB,3750,0,S2,0.7
P0353,Product 353,Electronic,BrandB,3707,270,S1,3.4
P0354,Product 354,Electronic,BrandA,3264,58,S2,0.4
P0355,Product 355,Electronic,BrandA,878,146,S1,2.9
P0356,Product 356,Electronic,BrandA,4126,250,S2,0.4
P0357,Product 357,Electronic,BrandB,2150,104,S1,2.3
P0358,Product 358,Electronic,BrandB,1712,262,S1,1
P0359,Product 359,Electronic,BrandA,4500,169,S2,2.5
P0360,Product 360,Electronic,BrandB,751,299,S2,2.9
P0361,Product 361,Electronic,BrandB,2073,233,S1,3.4
P0362,Product 362,Home,BrandB,801,212,S2,3.8
P0363,Product 363,Electronic,BrandB,4456,118,S1,0.3
P0364,Product 364,Electronic,BrandB,229,137,S1,5
P0365,Product 365,Home,BrandB,468,166,S2,1
P0366,Product 366,Electronic,BrandB,4698,110,S1,4.3
P0367,Product 367,Electronic,BrandB,2902,292,S2,1.1
P0368,Product 368,Electronic,BrandA,1123,116,S2,1.4
P0369,Product 369,Electronic,BrandB,3094,10,S1,1.6
P0370,Product 370,Electronic,BrandA,1896,2,S2,3.7
P0371,Product 371,Electronic,BrandA,2907,92,S2,2.4
P0372,Product 372,Electronic,BrandA,1946,226,S2,1.2
P0373,Product 373,Home,BrandA,4823,68,S2,0.8
P0374,Product 374,Electronic,BrandB,4575,108,S2,0
P0375,Product 375,Electronic,BrandB,3358,212,S2,3.6
P0376,Product 376,Electronic,BrandA,1758,112,S1,1.1
P0377,Product 377,Electronic,BrandB,3564,159,S2,2.6
P0378,Product 378,Electronic,BrandB,4270,238,S1,4.2
P0379,Product 379,Home,BrandB,4230,63,S2,3
P0380,Product 380,Home,BrandB,1493,25,S1,4.3
P0381,Product 381,Electronic,BrandA,3745,119,S2,1.9
P0382,Product 382,Home,BrandB,1153,117,S1,4.2
P0383,Product 383,Electronic,BrandA,3329,204,S2,4.2
P0384,Product 384,Home,BrandB,2290,86,S1,4.9
P0385,Product 385,Electronic,BrandA,999,1,S1,0.2
P0386,Product 386,Home,BrandB,2565,91,S2,4.1
P0387,Product 387,Electronic,BrandB,2066,174,S2,1.7
P0388,Product 388,Electronic,BrandA,2609,122,S1,1.7
P0389,Product 389,Electronic,BrandA,4423,55,S1,4
P0390,Product 390,Electronic,BrandB,3464,116,S2,5
P0391,Product 391,Home,BrandA,2149,92,S2,2.7
P0392,Product 392,Electronic,BrandB,1347,279,S2,3.5
P0393,Product 393,Electronic,BrandB,4806,131,S2,4.4
P0394,Product 394,Electronic,BrandA,4039,184,S1,3.6
P0395,Product 395,Home,BrandA,4203,123,S2,3
P0396,Product 396,Electronic,BrandB,3172,52,S1,3.2
P0397,Product 397,Electronic,BrandB,4988,152,S2,2.8
P0398,Product 398,Electronic,BrandA,3902,254,S1,3.1
P0399,Product 399,Electronic,BrandA,3532,198,S2,0.5
P0400,Product 400,Electronic,BrandA,3705,274,S1,4.5
P0401,Product 401,Electronic,BrandA,3154,297,S2,1.4
P0402,Product 402,Home,BrandA,4836,36,S2,0.5
P0403,Product 403,Electronic,BrandB,1269,49,S1,0.5
P0404,Product 404,Electronic,BrandA,4372,230,S2,0.7
P0405,Product 405,Electronic,BrandB,2715,182,S1,1.5
P0406,Product 406,Electronic,BrandA,3813,17,S1,2
P0407,Product 407,Home,BrandA,3637,270,S1,0
P0408,Product 408,Electronic,BrandB,4902,215,S1,0.1
P0409,Product 409,Home,BrandB,357,11,S2,3
P0410,Product 410,Electronic,BrandB,1231,141,S1,0.5
P0411,Product 411,Electronic,BrandA,216,159,S2,2.9
P0412,Product 412,Electronic,BrandB,4283,106,S1,1.9
P0413,Product 413,Electronic,BrandB,4205,37,S2,5
P0414,Product 414,Electronic,BrandA,1073,18,S1,4.4
P0415,Product 415,Electronic,BrandA,3472,230,S2,4.7
P0416,Product 416,Electronic,BrandA,4719,16,S1,2.3
P0417,Product 417,Home,BrandA,924,52,S1,0.5
P0418,Product 418,Electronic,BrandA,4187,90,S1,0
P0419,Product 419,Electronic,BrandA,3793,60,S1,1.7
P0420,Product 420,Home,BrandA,4478,112,S1,1.9
P0421,Product 421,Home,BrandA,3500,99,S2,4.5
P0422,Product 422,Home,BrandB,482,17,S2,2.2
P0423,Product 423,Electronic,BrandB,2093,50,S1,1.3
P0424,Product 424,Electronic,BrandB,1064,73,S1,1.3
P0425,Product 425,Electronic,BrandA,847,265,S1,3.1
P0426,Product 426,Electronic,BrandB,3406,300,S1,3.6
P0427,Product 427,Electronic,BrandA,3068,118,S2,0.7
P0428,Product 428,Electronic,BrandA,2020,81,S1,2
P0429,Product 429,Electronic,BrandB,4702,34,S1,2.3
P0430,Product 430,Home,BrandA,3747,172,S2,0.2
P0431,Product 431,Electronic,BrandB,485,232,S2,3.3
P0432,Product 432,Home,BrandA,2867,286,S1,2.3
P0433,Product 433,Electronic,BrandB,318,141,S1,2.7
P0434,Product 434,Electronic,BrandA,936,226,S2,4.3
P0435,Product 435,Electronic,BrandA,1124,207,S2,2.6
P0436,Product 436,Electronic,BrandA,4080,265,S2,1.8
P0437,Product 437,Electronic,BrandB,1684,42,S2,4.4
P0438,Product 438,Electronic,BrandB,4626,171,S2,2.6
P0439,Product 439,Home,BrandB,3124,239,S1,0
P0440,Product 440,Electronic,BrandB,4561,0,S2,1.3
P0441,Product 441,Electronic,BrandB,3515,4,S1,4.3
P0442,Product 442,Home,BrandA,980,96,S2,3.4
P0443,Product 443,Electronic,BrandA,4808,11,S2,1
P0444,Product 444,Electronic,BrandB,2413,111,S2,4
P0445,Product 445,Electronic,BrandB,2630,299,S1,4.4
P0446,Product 446,Electronic,BrandB,111,212,S1,3.5
P0447,Product 447,Home,BrandA,146,95,S2,2.2
P0448,Product 448,Home,BrandB,4938,52,S2,0.8
P0449,Product 449,Electronic,BrandB,1652,238,S1,0.9
P0450,Product 450,Electronic,BrandA,2423,148,S2,1.9
P0451,Product 451,Electronic,BrandA,3238,9,S2,1.2
P0452,Product 452,Electronic,BrandB,1043,64,S2,4.2
P0453,Product 453,Home,BrandA,2548,175,S2,3.7
P0454,Product 454,Electronic,BrandA,383,129,S1,3.2
P0455,Product 455,Home,BrandA,1684,294,S2,5
P0456,Product 456,Electronic,BrandA,1068,238,S1,0.7
P0457,Product 457,Home,BrandB,4071,69,S1,3.4
P0458,Product 458,Electronic,BrandA,3997,253,S1,1.4
P0459,Product 459,Home,BrandA,2918,146,S1,1
P0460,Product 460,Electronic,BrandB,2619,278,S1,2.2
P0461,Product 461,Home,BrandA,1808,40,S2,0.7
P0462,Product 462,Home,BrandA,999,271,S1,2.6
P0463,Product 463,Electronic,BrandB,153,273,S1,2.6
